statement_type;Cuenta;2019;2020;2021;2022;2023;2024;2025
balance;Cash And Cash Equivalents;157567986;309530699;304312020;291681987;303683683;248899004;296539709
balance;Accounts Receivable;191077588;194021253;265490626;279770286;298892164;332831088;339778498
balance;Inventory;147641224;127972650;191350206;245886656;233053160;299970909;304550609
balance;Current Assets;533474103;797297716;990986123;1161729392;981771027;1013195740;1033052781
balance;Property Plant Equipment;722718863;605576545;716379127;798221259;872388811;1097773572;1179385259
balance;Goodwill;121221661;98325593;118042900;129023922;122103802;144681420;137128318
balance;Intangible Assets;675075375;604514165;659631543;671778888;695926565;693383630;719489720
balance;Non Current Assets;1857474320;1650766684;1955120524;1848971215;1939749862;2277908533;2387352637
balance;Total Assets;2390948423;2448064400;2946106647;3010700607;2921520889;3291104273;3420405418
balance;Other Current Financials Liabilities;40593878;38566724;47763039;367302080;52997001;110330460;62418990
balance;Accounts Payable;243700553;230445809;327409207;384801630;428911984;457074643;480396027
balance;Current Liabilities;411658352;378056186;529567279;949245134;692871296;906143994;730412517
balance;Other Current Non Financials Liabilities;167957799;147610377;31237834;42294460;42373160;142103582;489967
balance;Long Term Debt;743327057;989829569;1041048972;904802058;1044325833;1066543247;1191795823
balance;Total Debt;783920935;1028396293;1088812011;1272104138;1097322834;1176873707;1254214813
balance;Net Debt;626352949;718865594;784499991;980422151;793639151;927974703;957675104
balance;Non Current Liabilities;1010386123;1238447623;1315125809;1178052821;1307664179;1370563259;1493439053
balance;Total Liabilities;1422044475;1616503809;1844693088;2127297955;2000535475;2276707253;2223851570
balance;Ordinary Shares Number;;;;;;;
balance;Retained Earnings;600918265;654171126;768116920;716975127;769311795;891746153;1169458993
balance;Total Equity;968903948;831560591;1101413559;883402652;920985414;1014397020;1196553848
balance;Non Controler Participation;20254258;20379477;25269755;28142508;34694887;37987828;39155051
balance;Total Liabilities Net Minority Interest;1442298733;1636883286;1869962843;2155440463;2035230362;2314695081;2263006621
balance;Total Capitalization;1752824883;1859956884;2190225570;2155506790;2018308248;2191270727;2450768661
income;Total Revenue;1779025115;1698281237;2216732593;2656878395;2618437052;3224233005;3344835851
income;Cost Of Revenue;-1048343767;-1022498659;-1375392773;-1628701823;-1601997255;-1945363408;-2037679124
income;Gross Profit;730681348;675782578;841339820;1028176572;1016439797;1278869597;1307156727
income;Selling General And Administration;-492812098;-436170953;-548902236;-683032392;-659102694;-851788221;-851790214
income;Research And Development;;;;;;;
income;Operating Income;237869250;239611625;292437584;345144180;357337103;427081376;455366513
income;EBIT;237869250;239611625;292437584;345144180;357337103;427081376;455366513
income;D&A;111087284;110920517;104775303;119365431;112771324;151110933;159241493
income;EBITDA;348956534;350532142;397212887;464509611;470108427;578192309;614608006
income;Interest Expense;-46209020;-54772837;-52992456;-59547953;-65288352;-70413883;-68218413
income;Pretax Income;236413116;178022719;203208988;232803625;260505794;368036771;380634342
income;Tax Provision;-61166891;-54905399;-46177320;-104344638;-85994307;-133392646;-110156927
income;Net Income;175246225;123117320;157031668;128458987;174511487;234644125;270477415
income;No Controler;1524297;1117515;2333518;2961345;3070077;1981241;1780479
income;Basic EPS;183,53;128,89;163,43;132,58;181,12;245,8;283,86
income;Diluted EPS;183,53;128,89;163,43;132,58;181,12;245,8;283,86
income;Basic Average Shares;946570604;946570604;946570604;946570604;946570604;946570604;946570604
income;Diluted Average Shares;946570604;946570604;946570604;946570604;946570604;946570604;946570604
income;Normalized Income;173721928;121999805;154698150;125497642;171441410;232662884;268696936
cashflow;Operating Cash Flow;255148474;278768998;305054983;397452424;366830236;357241911;461127402
cashflow;Total Cash From Operating Activities;255148474;278768998;305054983;397452424;366830236;357241911;461127402
cashflow;Capital Expenditure;-110683258;-85874958;-138856157;-186702179;-192707498;-291541611;-277822215
cashflow;Capital Expenditures;-110683258;-85874958;-138856157;-186702179;-192707498;-291541611;-277822215
cashflow;Free Cash Flow;144465216;192894040;166198826;210750245;174122738;65700300;183305187
cashflow;Cash Dividends Paid;86265896;-99985500;-106347165;-274316050;-165877422;-158408120;-195890117
cashflow;Dividends Paid;86265896;-99985500;-106347165;-274316050;-165877422;-158408120;-195890117
cashflow;Issuance Of Debt;50297337;27633156;0;23625853;31850233;123752721;153154775
cashflow;Repayment Of Debt;-74332889;-25197737;-7963425;-13934477;-26378491;-62776958;-84947461
cashflow;Net Borrowings;-24035552;2435419;-7963425;9691376;5471742;60975763;68207314
cashflow;Repurchase Of Stock;;;;;;;
cashflow;Common Stock Payments;;;;;;;
cashflow;Net Common Stock Issuance;;;;;;;
cashflow;Changes In Cash;20029373;151962713;-5218679;-12630033;12001696;-54784679;47640705
cashflow;Beginning Cash Position;137538613;157567986;309530699;304312020;291681987;303683683;248899004
cashflow;End Cash Position;157567986;309530699;304312020;291681987;303683683;248899004;296539709
