Cuenta;2019;2020;2021;2022;2023;2024;2025
Operating Cash Flow;255148474;278768998;305054983;397452424;366830236;357241911;461127402
Total Cash From Operating Activities;255148474;278768998;305054983;397452424;366830236;357241911;461127402
Capital Expenditure;-110683258;-85874958;-138856157;-186702179;-192707498;-291541611;-277822215
Capital Expenditures;-110683258;-85874958;-138856157;-186702179;-192707498;-291541611;-277822215
Free Cash Flow;144465216;192894040;166198826;210750245;174122738;65700300;183305187
Cash Dividends Paid;86265896;-99985500;-106347165;-274316050;-165877422;-158408120;-195890117
Dividends Paid;86265896;-99985500;-106347165;-274316050;-165877422;-158408120;-195890117
Issuance Of Debt;50297337;27633156;0;23625853;31850233;123752721;153154775
Repayment Of Debt;-74332889;-25197737;-7963425;-13934477;-26378491;-62776958;-84947461
Net Borrowings;-24035552;2435419;-7963425;9691376;5471742;60975763;68207314
Repurchase Of Stock;;;;;;;
Common Stock Payments;;;;;;;
Net Common Stock Issuance;;;;;;;
Changes In Cash;20029373;151962713;-5218679;-12630033;12001696;-54784679;47640705
Beginning Cash Position;137538613;157567986;309530699;304312020;291681987;303683683;248899004
End Cash Position;157567986;309530699;304312020;291681987;303683683;248899004;296539709
