Cuenta;2020;2021;2022;2023;2024;2025
Operating Cash Flow;278768998;305054983;397452424;366830236;357241911;461127402
Total Cash From Operating Activities;278768998;305054983;397452424;366830236;357241911;461127402
Capital Expenditure;-85874958;-138856157;-186702179;-192707498;-291541611;-277822215
Capital Expenditures;-85874958;-138856157;-186702179;-192707498;-291541611;-277822215
Free Cash Flow;192894040;166198826;210750245;174122738;65700300;183305187
Cash Dividends Paid;-99985500;-106347165;-274316050;-165877422;-158408120;-195890117
Dividends Paid;-99985500;-106347165;-274316050;-165877422;-158408120;-195890117
Issuance Of Debt;27633156;0;23625853;31850233;123752721;153154775
Repayment Of Debt;-25197737;-7963425;-30888018;-50920358;-79687329;-103372810
Net Borrowings;2435419;-7963425;-7262165;-19070125;44065392;49781965
Repurchase Of Stock;;;;;;
Common Stock Payments;;;;;;
Net Common Stock Issuance;;;;;;
Changes In Cash;151962713;-5218679;-12630033;12001696;-54784679;47640705
Beginning Cash Position;157567986;309530699;304312020;291681987;303683683;248899004
End Cash Position;309530699;304312020;291681987;303683683;248899004;296539709
