Cuenta;2020;2021;2022;2023;2024;2025
Ingresos de actividades ordinarias;1698281237;2216732593;2656878395;2618437052;3224233005;0
Costo de ventas;-1022498659;-1375392773;-1628701823;-1601997255;-1945363408;0
GANANCIA BRUTA;675782578;841339820;1028176572;1016439797;1278869597;0
;;;;;;
Otros ingresos;8356298;1337878;2497520;1310489;21479861;0
Costos de distribución;-152532018;-199952373;-253514676;-227807179;-289987008;0
Gastos de administración;-283638935;-348949863;-429517716;-431295515;-561801213;0
Otros gastos por función;-17430256;-15211790;-886331;-26441583;-36650029;0
Otras (pérdidas) ganancias;287;0;-24983899;-15909117;0;0
Ingresos financieros;14945879;7791869;39722410;31396167;28959918;0
Costos financieros;-54772837;-52992456;-59547953;-65288352;-70413883;0
Participación en ganancias (pérdidas) de asociadas;2228763;3093102;1409069;2716169;997644;0
Diferencias de cambio;-3088278;-5508311;-11607728;-17216130;-7406704;0
Resultados por unidades de reajuste;-11828762;-27738888;-58943643;-7398952;3988588;0
;;;;;;
GANANCIA ANTES DE IMPUESTO;178022719;203208988;232803625;260505794;368036771;0
Gasto por impuesto a las ganancias;-54905399;-46177320;-104344638;-85994307;-133392646;0
GANANCIA DEL EJERCICIO;123117320;157031668;128458987;174511487;234644125;0
;;;;;;
Ganancia atribuible a propietarios controladora;121999805;154698150;125497642;171441410;232662884;0
Ganancia atribuible a participaciones no controladoras;1117515;2333518;2961345;3070077;1981241;0
