statement_type;Cuenta;2019;2020;2021;2022;2023;2024;2025
balance;Cash And Cash Equivalents;326886;254107;392418;198063;247948;573487;
balance;Accounts Receivable;253399;201246;307238;329118;239083;261612;
balance;Inventory;48559;33646;70598;95028;101389;97954;
balance;Current Assets;1139451;1259184;1766436;1688307;1426255;1200078;
balance;Property Plant Equipment;5171850;4848004;4421566;4517284;4879159;5317689;
balance;Goodwill;0;5573;5573;5573;0;7478;
balance;Intangible Assets;124362;122110;68152;65198;51879;62080;
balance;Non Current Assets;5565899;5374683;4836072;4917667;5234468;5708126;
balance;Total Assets;6705350;6633867;6602508;6605974;6660723;6908204;
balance;Other Current Financials Liabilities;72292;103108;279118;95557;72986;61580;
balance;Accounts Payable;147820;117728;205706;294367;215852;208764;
balance;Current Liabilities;338298;306532;679004;542664;470836;370170;
balance;Other Current Non Financials Liabilities;20957;20775;6326;6108;22706;25796;
balance;Long Term Debt;1464336;1559266;1944259;1925613;1910770;2100969;
balance;Total Debt;1610110;1787131;2349449;2061244;2119752;2299682;
balance;Net Debt;1283224;1533024;1957031;1863181;1871804;1726195;
balance;Non Current Liabilities;2631417;2741967;3082078;3110433;3092609;3307638;
balance;Total Liabilities;2969715;3048499;3761082;3653097;3563445;3677808;
balance;Ordinary Shares Number;17536167720;17536167720;17536167720;17536167720;17536167720;17536167720;
balance;Retained Earnings;1458332;1414284;833180;959285;1127541;1290675;
balance;Total Equity;3735635;3585368;2841426;2952877;3097278;3230396;
balance;Non Controler Participation;199342;125917;120799;135297;124022;126137;
balance;Total Liabilities Net Minority Interest;3169057;3174416;3881881;3788394;3687467;3803945;
balance;Total Capitalization;5345745;5372499;5190875;5014121;5217030;5530078;
income;Total Revenue;1487387.0;1348868.0;1439744.0;1974023.0;2003619.0;1575984.0;
income;Cost Of Revenue;-691984.0;-575796.0;-781973.0;-1069431.0;-1130142.0;-772245.0;
income;Gross Profit;;;;;;;
income;Selling General And Administration;;;;;;;
income;Research And Development;0.0;0.0;0.0;0.0;0.0;0.0;
income;Operating Income;337210.0;195761.0;913680.0;466168.0;559568.0;353138.0;
income;EBIT;337210.0;195761.0;913680.0;466168.0;559568.0;353138.0;
income;D&A;250522.0;246615.0;213163.0;219514.0;205881.0;215235.0;
income;EBITDA;587732.0;442376.0;1126843.0;685682.0;765449.0;568373.0;
income;Interest Expense;-91069.0;-90459.0;-86347.0;-88723.0;-85409.0;-70290.0;
income;Pretax Income;270182.0;132219.0;825172.0;416000.0;548572.0;344735.0;
income;Tax Provision;-68216.0;-42751.0;-284992.0;-105533.0;-144742.0;-87578.0;
income;Net Income;200885.0;162893.0;535062.0;295969.0;393489.0;252457.0;
income;No Controler;1081.0;-73425.0;5118.0;14498.0;10341.0;4700.0;
income;Basic EPS;1.1455467534727707e-05;9.28897365723872e-06;3.0511911641319543e-05;1.6877632828662293e-05;2.243871102756538e-05;1.4396360939914642e-05;
income;Diluted EPS;1.1455467534727707e-05;9.28897365723872e-06;3.0511911641319543e-05;1.6877632828662293e-05;2.243871102756538e-05;1.4396360939914642e-05;
income;Basic Average Shares;17536167720.0;17536167720.0;17536167720.0;17536167720.0;17536167720.0;17536167720.0;17536167720.0
income;Diluted Average Shares;17536167720.0;17536167720.0;17536167720.0;17536167720.0;17536167720.0;17536167720.0;17536167720.0
income;Normalized Income;200885.0;162893.0;535062.0;295969.0;393489.0;252457.0;
cashflow;Operating Cash Flow;564820.0;525624.0;334418.0;491968.0;718326.0;465244.0;
cashflow;Total Cash From Operating Activities;564820.0;525624.0;334418.0;491968.0;718326.0;465244.0;
cashflow;Capital Expenditure;-87784.0;-112556.0;-253738.0;-274430.0;-521762.0;-236027.0;
cashflow;Capital Expenditures;-87784.0;-112556.0;-253738.0;-274430.0;-521762.0;-236027.0;
cashflow;Free Cash Flow;477036.0;413068.0;80680.0;217538.0;196564.0;229217.0;
cashflow;Cash Dividends Paid;-346264.0;-241319.0;-124739.0;-151868.0;-304943.0;-134726.0;
cashflow;Dividends Paid;-346264.0;-241319.0;-124739.0;-151868.0;-304943.0;-134726.0;
cashflow;Issuance Of Debt;0.0;546913.0;600000.0;160000.0;5000.0;200000.0;
cashflow;Repayment Of Debt;0.0;-416562.0;-76476.0;-36507.0;-32856.0;-29000.0;
cashflow;Net Borrowings;0.0;130351.0;523524.0;123493.0;-27856.0;171000.0;
cashflow;Repurchase Of Stock;0.0;0.0;0.0;0.0;0.0;0.0;
cashflow;Common Stock Payments;0.0;0.0;0.0;0.0;0.0;0.0;
cashflow;Net Common Stock Issuance;0.0;0.0;0.0;0.0;0.0;0.0;
cashflow;Changes In Cash;107695.0;-72779.0;138311.0;-194355.0;49885.0;325539.0;
cashflow;Beginning Cash Position;219191.0;326886.0;254107.0;392418.0;198063.0;247948.0;
cashflow;End Cash Position;326886.0;254107.0;392418.0;198063.0;247948.0;573487.0;
