Cuenta;2019;2020;2021;2022;2023;2024;2025
Cash And Cash Equivalents;326886;254107;392418;198063;247948;573487;
Accounts Receivable;253399;201246;307238;329118;239083;261612;
Inventory;48559;33646;70598;95028;101389;97954;
Current Assets;1139451;1259184;1766436;1688307;1426255;1200078;
Property Plant Equipment;5171850;4848004;4421566;4517284;4879159;5317689;
Goodwill;0;5573;5573;5573;0;7478;
Intangible Assets;124362;122110;68152;65198;51879;62080;
Non Current Assets;5565899;5374683;4836072;4917667;5234468;5708126;
Total Assets;6705350;6633867;6602508;6605974;6660723;6908204;
Other Current Financials Liabilities;72292;103108;279118;95557;72986;61580;
Accounts Payable;147820;117728;205706;294367;215852;208764;
Current Liabilities;338298;306532;679004;542664;470836;370170;
Other Current Non Financials Liabilities;20957;20775;6326;6108;22706;25796;
Long Term Debt;1464336;1559266;1944259;1925613;1910770;2100969;
Total Debt;1610110;1787131;2349449;2061244;2119752;2299682;
Net Debt;1283224;1533024;1957031;1863181;1871804;1726195;
Non Current Liabilities;2631417;2741967;3082078;3110433;3092609;3307638;
Total Liabilities;2969715;3048499;3761082;3653097;3563445;3677808;
Ordinary Shares Number;17536167720;17536167720;17536167720;17536167720;17536167720;17536167720;
Retained Earnings;1458332;1414284;833180;959285;1127541;1290675;
Total Equity;3735635;3585368;2841426;2952877;3097278;3230396;
Non Controler Participation;199342;125917;120799;135297;124022;126137;
Total Liabilities Net Minority Interest;3169057;3174416;3881881;3788394;3687467;3803945;
Total Capitalization;5345745;5372499;5190875;5014121;5217030;5530078;
