Cuenta;2019;2020;2021;2022;2023;2024;2025
Operating Cash Flow;564820;525624;334418;491968;718326;465244;
Capital Expenditure;-87784;-112556;-253738;-274430;-521762;-236027;
Free Cash Flow;477036;413068;80680;217538;196564;229217;
Cash Dividends Paid;-346264;-241319;-124739;-151868;-304943;-134726;
Issuance Of Debt;0;546913;600000;160000;5000;200000;
Repayment Of Debt;0;-416562;-76476;-36507;-32856;-29000;
Net Borrowings;0;130351;523524;123493;-27856;171000;
Repurchase Of Stock;0;0;0;0;0;0;
Common Stock Payments;0;0;0;0;0;0;
Net Common Stock Issuance;0;0;0;0;0;0;
Changes In Cash;107695;-72779;138311;-194355;49885;325539;
Beginning Cash Position;219191;326886;254107;392418;198063;247948;
End Cash Position;326886;254107;392418;198063;247948;573487;
