Cuenta;2019;2020;2021;2022;2023;2024;2025
Total Revenue;;1348868;1439744;1974023;2003619;1575984;
Cost Of Revenue;;-575796;-781973;-1069431;-1130142;-772245;
Gross Profit;0;773072;657771;904592;873477;803739;
Selling General And Administration;;-65357;-79672;-84027;-91800;-92092;
Research And Development;;0;0;0;0;0;
Operating Income;;195761;913680;466168;559568;353138;
EBIT;0;195761;913680;466168;559568;353138;
D&A;;-246615;-213163;-219514;-205881;-215235;
EBITDA;0;442376;1126843;685682;765449;568373;
Interest Expense;;-90459;-86347;-88723;-85409;-70290;
Pretax Income;;132219;825172;416000;548572;344735;
Tax Provision;;-42751;-284992;-105533;-144742;-87578;
Net Income;;89468;540180;310467;403830;257157;
No Controler;;-73425;-5118;14498;10341;4700;
Basic EPS;;0,00929;0,0311;0,01688;0,02244;0,0144;
Diluted EPS;;0,00929;0,0311;0,01688;0,02244;0,0144;
Basic Average Shares;17536167720;17536167720;17536167720;17536167720;17536167720;17536167720;
Diluted Average Shares;17536167720;17536167720;17536167720;17536167720;17536167720;17536167720;
Normalized Income;;89468;540180;310467;403830;257157;
