statement_type;Cuenta;2019;2020;2021;2022;2023;2024;2025
balance;Cash And Cash Equivalents;72037137;93178436;64006655;33791676;34185194;45500034;
balance;Accounts Receivable;211128612;190459184;249210344;249182114;275103598;289699400;
balance;Inventory;293371556;304895225;352064738;411139331;425230734;436592246;
balance;Current Assets;642488325;655243747;750678839;784435869;821783906;849575742;
balance;Property Plant Equipment;412693885;408358064;437757440;483445198;506358397;528080857;
balance;Goodwill;39578343;37904925;43838252;44333805;45276997;50571473;
balance;Intangible Assets;84775283;86093110;100143031;102194473;106342408;127376716;
balance;Non Current Assets;611328802;624448872;693716670;797343911;814753246;869193328;
balance;Total Assets;1253817127;1279692619;1444395509;1581779780;1636537152;1718769070;
balance;Other Current Financials Liabilities;145930156;69193170;133497008;157717682;207046662;205652904;
balance;Accounts Payable;123364660;144702677;166514668;173853544;166665135;193645688;
balance;Current Liabilities;338947998;292892961;392158832;442639527;456385261;505542137;
balance;Other Current Non Financials Liabilities;824809;1211193;1472295;1304812;2275508;2480044;
balance;Long Term Debt;235712527;254976947;297273509;281928903;300659510;287740320;
balance;Total Debt;381642683;324170117;430770517;439646585;507706172;493393224;
balance;Net Debt;309605546;230991681;366763862;405854909;473520978;447893190;
balance;Non Current Liabilities;320834663;338224979;387731484;375031525;398068014;388334625;
balance;Total Liabilities;659782661;631117940;779890316;817671052;854453275;893876762;
balance;Ordinary Shares Number;739010000;739010000;739010000;739010000;739010000;739010000;
balance;Retained Earnings;514555498;563910980;624190604;676423359;696336230;745080747;
balance;Total Equity;594034466;648574679;664505193;764108728;782083877;824892308;
balance;Non Controler Participation;4443136;4819940;6479319;7345964;7827328;7220362;
balance;Total Liabilities Net Minority Interest;664225797;635937880;786369635;825017016;862280603;901097124;
balance;Total Capitalization;975677149;972744796;1095275710;1203755313;1289790049;1318285532;
income;Total Revenue;656980447;769067418;836712564;870581770;837213197;958629954;
income;Cost Of Revenue;415583553;461197845;501792720;528860761;527782376;585938343;
income;Gross Profit;241396894;307869573;334919844;341721009;309430821;372691611;
income;Selling General And Administration;-162974577;-185176544;-205735857;-234766751;-238279840;-253434658;
income;Research And Development;0;0;0;0;0;0;
income;Operating Income;78422317;122693029;129183987;106954258;71150981;119256953;
income;EBIT;78422317;122693029;129183987;106954258;71150981;119256953;
income;D&A;27480217;28176513;31338273;30354072;30154009;31657451;
income;EBITDA;105902534;150869542;160522260;137308330;101304990;150914404;
income;Interest Expense;-12413267;-15349687;-13060426;-1556418;-22067073;-23583343;
income;Pretax Income;70481519;105483987;129833578;101723395;52475816;105620090;
income;Tax Provision;-17071544;-26390068;-29139260;-12740199;-8496776;-26916059;
income;Net Income;53409975;79093919;100694318;88983196;43979040;78704031;
income;No Controler;910210;1099536;1884383;1770620;852753;1283967;
income;Basic EPS;70,28;104,41;133,71;118,01;58,36;104,76;
income;Diluted EPS;70,28;104,41;133,71;118,01;58,36;104,76;
income;Basic Average Shares;747005982;747005982;739010000;739010000;739010000;739010000;
income;Diluted Average Shares;747005982;747005982;739010000;739010000;739010000;739010000;
income;Normalized Income;52499765;77994383;98809935;87212576;43126287;77420064;
cashflow;Operating Cash Flow;718988892;775687644;944941476;950235949;1029426501;1122622087;
cashflow;Total Cash From Operating Activities;718988892;775687644;944941476;950235949;1029426501;1122622087;
cashflow;Capital Expenditure;-41267414;-29509295;-45228577;-72580477;-54399204;-41256493;
cashflow;Capital Expenditures;-41267414;-29509295;-45228577;-72580477;-54399204;-41256493;
cashflow;Free Cash Flow;677721478;746178349;899712899;877655472;975027297;1081365594;
cashflow;Cash Dividends Paid;-19144896;-22187835;-48867808;-21972879;-32149657;-21162728;
cashflow;Dividends Paid;-19144896;-22187835;-48867808;-21972879;-32149657;-21162728;
cashflow;Issuance Of Debt;167743998;174242701;106534822;113511856;213019939;169192985;
cashflow;Repayment Of Debt;-135523717;-215073600;-120468167;-68037089;-158825586;-237082611;
cashflow;Net Borrowings;32220281;-40830899;-13933345;45474767;54194353;-67889626;
cashflow;Repurchase Of Stock;;;;;;;
cashflow;Common Stock Payments;;;;;;;
cashflow;Net Common Stock Issuance;;;;;;;
cashflow;Changes In Cash;34550802;21141299;-6040450;-30214979;393518;11314840;
cashflow;Beginning Cash Position;37486335;72037137;93178436;64006655;33791676;34185194;
cashflow;End Cash Position;72037137;93178436;87137986;33791676;34185194;45500034;
