Cuenta;2019;2020;2021;2022;2023;2024;2025
Cash And Cash Equivalents;72037137;93178436;64006655;33791676;34185194;45500034;
Accounts Receivable;211128612;190459184;249210344;249182114;275103598;289699400;
Inventory;293371556;304895225;352064738;411139331;425230734;436592246;
Current Assets;642488325;655243747;750678839;784435869;821783906;849575742;
Property Plant Equipment;412693885;408358064;437757440;483445198;506358397;528080857;
Goodwill;39578343;37904925;43838252;44333805;45276997;50571473;
Intangible Assets;84775283;86093110;100143031;102194473;106342408;127376716;
Non Current Assets;611328802;624448872;693716670;797343911;814753246;869193328;
Total Assets;1253817127;1279692619;1444395509;1581779780;1636537152;1718769070;
Other Current Financials Liabilities;145930156;69193170;133497008;157717682;207046662;205652904;
Accounts Payable;123364660;144702677;166514668;173853544;166665135;193645688;
Current Liabilities;338947998;292892961;392158832;442639527;456385261;505542137;
Other Current Non Financials Liabilities;824809;1211193;1472295;1304812;2275508;2480044;
Long Term Debt;235712527;254976947;297273509;281928903;300659510;287740320;
Total Debt;381642683;324170117;430770517;439646585;507706172;493393224;
Net Debt;309605546;230991681;366763862;405854909;473520978;447893190;
Non Current Liabilities;320834663;338224979;387731484;375031525;398068014;388334625;
Total Liabilities;659782661;631117940;779890316;817671052;854453275;893876762;
Ordinary Shares Number;739010000;739010000;739010000;739010000;739010000;739010000;
Retained Earnings;514555498;563910980;624190604;676423359;696336230;745080747;
Total Equity;594034466;648574679;664505193;764108728;782083877;824892308;
Non Controler Participation;4443136;4819940;6479319;7345964;7827328;7220362;
Total Liabilities Net Minority Interest;664225797;635937880;786369635;825017016;862280603;901097124;
Total Capitalization;975677149;972744796;1095275710;1203755313;1289790049;1318285532;
