Cuenta;2019;2020;2021;2022;2023;2024;2025
Operating Cash Flow;718988892;775687644;944941476;950235949;1029426501;1122622087;
Total Cash From Operating Activities;718988892;775687644;944941476;950235949;1029426501;1122622087;
Capital Expenditure;-41267414;-29509295;-45228577;-72580477;-54399204;-41256493;
Capital Expenditures;-41267414;-29509295;-45228577;-72580477;-54399204;-41256493;
Free Cash Flow;677721478;746178349;899712899;877655472;975027297;1081365594;
Cash Dividends Paid;-19144896;-22187835;-48867808;-21972879;-32149657;-21162728;
Dividends Paid;-19144896;-22187835;-48867808;-21972879;-32149657;-21162728;
Issuance Of Debt;167743998;174242701;106534822;113511856;213019939;169192985;
Repayment Of Debt;-135523717;-215073600;-120468167;-68037089;-158825586;-237082611;
Net Borrowings;32220281;-40830899;-13933345;45474767;54194353;-67889626;
Repurchase Of Stock;;;;;;;
Common Stock Payments;;;;;;;
Net Common Stock Issuance;;;;;;;
Changes In Cash;34550802;21141299;-6040450;-30214979;393518;11314840;
Beginning Cash Position;37486335;72037137;93178436;64006655;33791676;34185194;
End Cash Position;72037137;93178436;87137986;33791676;34185194;45500034;
