Cuenta;2019;2020;2021;2022;2023;2024;2025
Total Revenue;656980447;769067418;836712564;870581770;837213197;958629954;
Cost Of Revenue;415583553;461197845;501792720;528860761;527782376;585938343;
Gross Profit;241396894;307869573;334919844;341721009;309430821;372691611;
Selling General And Administration;-162974577;-185176544;-205735857;-234766751;-238279840;-253434658;
Research And Development;0;0;0;0;0;0;
Operating Income;78422317;122693029;129183987;106954258;71150981;119256953;
EBIT;78422317;122693029;129183987;106954258;71150981;119256953;
D&A;27480217;28176513;31338273;30354072;30154009;31657451;
EBITDA;105902534;150869542;160522260;137308330;101304990;150914404;
Interest Expense;-12413267;-15349687;-13060426;-1556418;-22067073;-23583343;
Pretax Income;70481519;105483987;129833578;101723395;52475816;105620090;
Tax Provision;-17071544;-26390068;-29139260;-12740199;-8496776;-26916059;
Net Income;53409975;79093919;100694318;88983196;43979040;78704031;
No Controler;910210;1099536;1884383;1770620;852753;1283967;
Basic EPS;70,28;104,41;133,71;118,01;58,36;104,76;
Diluted EPS;70,28;104,41;133,71;118,01;58,36;104,76;
Basic Average Shares;747005982;747005982;739010000;739010000;739010000;739010000;
Diluted Average Shares;747005982;747005982;739010000;739010000;739010000;739010000;
Normalized Income;52499765;77994383;98809935;87212576;43126287;77420064;
